gene,logFC,AveExpr,t,PValue,FDR,B,DE_status,timepoint,cell_type
CXCR4,-0.243292368770095,7.11134853333333,-1.68940993245358,0.114729916446234,0.825907288035581,-4.25264089213637,NS,1_month,B Cell
CCR4,0.318458804686495,0.973694068666667,1.26116093626145,0.229197417973277,0.866851195261157,-4.57976162753691,NS,1_month,B Cell
CXCR5,-0.136144747186495,5.06896815333333,-1.23282265296436,0.239258427094283,0.867714335173729,-4.59924265782031,NS,1_month,B Cell
ALAS2,-0.526903442343248,1.05334727333333,-0.664796352978417,0.517686606798751,0.933078342946656,-4.91394109053972,NS,1_month,B Cell
CCR6,-0.106841044393088,3.45850694,-0.601745243714892,0.557591000207302,0.939482430988032,-4.9386574731461,NS,1_month,B Cell
CXCR5,-0.527622651497187,1.91402532466667,-2.12411405368678,0.0523254859837161,0.893916589986568,-4.1374441942654,NS,1_month,CD14+ Monocyte
CCR6,-0.238247873965033,1.220093752,-0.820550668081217,0.425915384212379,0.903061300075284,-4.69114349843966,NS,1_month,CD14+ Monocyte
CCR4,-0.104299764899518,0.816641222666667,-0.504476324631585,0.621923166679971,0.943400041301633,-4.76666411937993,NS,1_month,CD14+ Monocyte
CXCR4,-0.0686021992966257,5.38590010666667,-0.399539778151173,0.69563956474752,0.962332244935838,-4.78429107975387,NS,1_month,CD14+ Monocyte
ALAS2,-0.113408123814308,0.932342636,-0.223109307752791,0.826734588534558,0.984517924122796,-4.80495275378124,NS,1_month,CD14+ Monocyte
CCR6,0.578496463327974,0.530795768,2.4257809348666,0.0290640033683869,0.715602775055577,-3.60430586630278,NS,1_month,CD16+ Monocyte
CXCR4,0.367300696463023,5.28459106666667,1.46534876336599,0.16447559142125,0.764285794299452,-4.42710629424483,NS,1_month,CD16+ Monocyte
CCR4,-0.183541461384646,0.333401301333333,-0.784679785493889,0.445452456065836,0.866886646596023,-4.84796425439017,NS,1_month,CD16+ Monocyte
ALAS2,0.0570129966720257,0.0246585546666667,0.629940123492123,0.538674216653028,0.889471166770898,-4.91318613137278,NS,1_month,CD16+ Monocyte
CXCR5,0.058749856659968,1.03895065133333,0.191511411058632,0.85081884272647,0.967859517037386,-5.02355523436673,NS,1_month,CD16+ Monocyte
CCR4,-0.509474413502814,1.435348386,-1.3648607232107,0.195268141336485,0.967373261342044,-4.48843291633139,NS,1_month,CD8+ T Cell
CXCR5,-0.409792070699356,1.69423407333333,-1.66198582803044,0.120231515137554,0.967373261342044,-4.32878170429248,NS,1_month,CD8+ T Cell
CXCR4,-0.112354089067527,7.32893446,-0.86414394968807,0.403045854169012,0.967373261342044,-4.709338747995,NS,1_month,CD8+ T Cell
ALAS2,-0.258854819067524,0.555759391666667,-0.475925449824787,0.641962018998839,0.971952541248958,-4.82224429093479,NS,1_month,CD8+ T Cell
CCR6,-0.167074676507236,2.74644071333333,-0.416209091999911,0.6839913217687,0.974837145789354,-4.83419949456252,NS,1_month,CD8+ T Cell
CXCR5,-0.76902424375,1.05574288,-1.59269603299344,0.132582433000968,0.932135200685396,-4.50794798141981,NS,1_month,cDC2
ALAS2,-0.377211152411575,0.153349893333333,-1.39317960948908,0.184356832704792,0.932135200685396,-4.54177722642121,NS,1_month,cDC2
CCR6,-0.251426035192926,1.524113324,-0.664210385910752,0.516879853424536,0.943281262911367,-4.63797232792842,NS,1_month,cDC2
CCR4,0.0675745383842443,0.104995533333333,0.375841474007353,0.712424229594305,0.971598870614122,-4.65938939354867,NS,1_month,cDC2
CXCR4,-0.0448021471061075,6.41118704666667,-0.225845832563914,0.824443538913581,0.980628364133927,-4.66599344440196,NS,1_month,cDC2
ALAS2,-1.15023491185289,1.97583634866667,-1.28125621264925,0.222846510607075,0.89123232744596,-4.53001683563441,NS,1_month,Lymphocyte
CCR4,0.299462870940513,1.7586448,1.03968501782216,0.317741931450569,0.89123232744596,-4.63861765728758,NS,1_month,Lymphocyte
CXCR4,-0.153166588866559,6.69952534,-1.34790845141157,0.201077394745268,0.89123232744596,-4.49745147810663,NS,1_month,Lymphocyte
CCR6,-0.290311306471061,1.83812744666667,-0.621035609067895,0.545485159826056,0.920492462563452,-4.78343730176503,NS,1_month,Lymphocyte
CXCR5,0.0718987189308677,2.01082800666667,0.323958110672228,0.751206183644549,0.961733734988366,-4.84540410658535,NS,1_month,Lymphocyte
CXCR4,-0.129271501607717,7.06964326666667,-1.43142829477439,0.175249270885878,0.817789675672506,-4.45008747089004,NS,1_month,Memory CD4+ T Cell
CCR6,-0.260757953677653,4.49855807333333,-1.4049436072239,0.182827389536226,0.819266830367236,-4.46498405718218,NS,1_month,Memory CD4+ T Cell
CCR4,0.143845214971864,4.01582044,1.02927594391403,0.321597727836659,0.857419818832354,-4.65599077138746,NS,1_month,Memory CD4+ T Cell
CXCR5,-0.123717003376207,2.74249945333333,-0.680689498600574,0.507676774421691,0.904835136070322,-4.79098645211182,NS,1_month,Memory CD4+ T Cell
ALAS2,-0.0115120514891478,0.230766515333333,-0.0565333094526162,0.95575247609875,0.992933481328024,-4.90151895129348,NS,1_month,Memory CD4+ T Cell
ALAS2,0.949794249598071,2.34276064666667,0.823714852618388,0.420514531466734,0.962835254476963,-4.61974374739585,NS,1_month,Naive CD4+ T Cell
CXCR4,-0.289108470016076,6.61124209333333,-2.26879396573434,0.0353609730063892,0.962835254476963,-4.385014276606,NS,1_month,Naive CD4+ T Cell
CCR4,0.247213120016076,3.59784408666667,1.15693849712396,0.261906666093828,0.962835254476963,-4.57887370638036,NS,1_month,Naive CD4+ T Cell
CXCR5,-0.156593124979902,2.84689328666667,-0.520859310696013,0.608596216661974,0.968775496585817,-4.64629151579563,NS,1_month,Naive CD4+ T Cell
CCR6,-0.161536471864953,3.75838257333333,-0.501535978516706,0.621864728139093,0.969488218715242,-4.64760673175177,NS,1_month,Naive CD4+ T Cell
CXCR5,0.292728074324759,1.317668004,0.933620739941257,0.366188935210305,0.947168900397447,-4.62898580998898,NS,1_month,Naive CD8+ T Cell
CXCR4,-0.127408584003216,6.90494998,-1.182210473557,0.256646052726193,0.947168900397447,-4.56669600405911,NS,1_month,Naive CD8+ T Cell
CCR4,-0.290456765695338,1.078193366,-0.502049083243656,0.623369698637177,0.959790448007036,-4.70747650829268,NS,1_month,Naive CD8+ T Cell
ALAS2,0.0712513534807074,0.164922969333333,0.402761947022679,0.69315432366589,0.966030768204885,-4.71935110983586,NS,1_month,Naive CD8+ T Cell
CCR6,-0.0424333877913986,0.534014220666667,-0.138365769186948,0.891904999901977,0.98876535136596,-4.73853451678908,NS,1_month,Naive CD8+ T Cell
CCR6,-0.142334222590434,0.267076578,-0.898347964763292,0.383791920376277,0.880761168996201,-4.9219249516616,NS,1_month,NK Cell
CCR4,-0.0996143250080386,0.117278872,-0.749979433484428,0.465358464247557,0.904969478067993,-5.00970765563677,NS,1_month,NK Cell
CXCR5,0.0593720817524117,0.434446195333333,0.415578267274891,0.683851975616731,0.935815725602288,-5.15352378727606,NS,1_month,NK Cell
ALAS2,0.0538659492142284,0.361087378,0.236486914190653,0.816389501738953,0.960425260214613,-5.19758409302401,NS,1_month,NK Cell
CXCR4,0.0185861844051454,6.81724144,0.10253129677411,0.919750731607703,0.982948991660075,-5.21484253179355,NS,1_month,NK Cell
ALAS2,-0.439699211328413,1.01040553933333,-0.660383300313734,0.520087887089195,0.999738931385376,-4.75014391719506,NS,6_month,B Cell
CXCR5,-0.0725237774907743,5.02818685333333,-0.470262973758193,0.645653876894559,0.999738931385376,-4.7928570272054,NS,6_month,B Cell
CCR6,-0.0621217561116221,3.56348865333333,-0.395945210163817,0.698315746389327,0.999738931385376,-4.80585952759953,NS,6_month,B Cell
CCR4,0.0566425785470477,0.879132934,0.319755363701461,0.754035379133492,0.999738931385376,-4.81695102994305,NS,6_month,B Cell
CXCR4,-0.0129956926199233,7.12361216666667,-0.0916513241256358,0.928317534035028,0.999738931385376,-4.8362081286115,NS,6_month,B Cell
CCR6,-0.614905047107933,1.364036214,-2.59966521315986,0.021192482860844,0.99196929635139,-3.78128432660107,NS,6_month,CD14+ Monocyte
CXCR5,-0.243306825530443,1.77876808666667,-1.46667568147411,0.16489464196752,0.99196929635139,-4.43736064870706,NS,6_month,CD14+ Monocyte
CXCR4,0.225616162822877,5.42927993333333,1.41881324713439,0.178157002337685,0.99196929635139,-4.46179092839142,NS,6_month,CD14+ Monocyte
CCR4,-0.0476112803759228,0.963796310666667,-0.222323678326818,0.827320684229624,0.996127285872242,-4.85081402599417,NS,6_month,CD14+ Monocyte
ALAS2,0.0522118005389759,0.5320650982,0.118992435551329,0.906997264129927,0.996824867973531,-4.85860219725103,NS,6_month,CD14+ Monocyte
CXCR4,0.850135945964024,5.24630544,5.00181564878684,0.000174193678707327,0.971243413173775,-3.12528302035491,NS,6_month,CD16+ Monocyte
CCR6,0.296361490622694,0.410280100666667,1.22300904646127,0.240818251001745,0.971243413173775,-4.5528528524749,NS,6_month,CD16+ Monocyte
